q40_un_o,q41_un_o,q42_un_o,q43_un_o,age5,gender,education,income
2,1,1,2,35–44 years,female,Apprenticeship or trades certificate or diploma,"$60,000-$70,000"
3,3,4,2,16–24 years,female,"No certificate, diploma or degree",">$150,000"
3,2,1,1,35–44 years,female,"University certificate, diploma or degree at bachelor level or above",">$150,000"
3,3,3,3,55–64 years,female,Secondary (high) school diploma or equivalency certificate,"< $50,000"
3,NA,4,2,16–24 years,male,Secondary (high) school diploma or equivalency certificate,"< $50,000"
2,NA,NA,NA,35–44 years,male,Apprenticeship or trades certificate or diploma,"< $50,000"
2,3,3,1,45–54 years,female,Secondary (high) school diploma or equivalency certificate,"$50,000-$60,000"
3,1,2,2,35–44 years,male,"College, CEGEP or other non-university certificate or diploma","$50,000-$60,000"
2,NA,NA,NA,55–64 years,female,"College, CEGEP or other non-university certificate or diploma","$50,000-$60,000"
1,1,2,1,16–24 years,female,"College, CEGEP or other non-university certificate or diploma","< $50,000"
1,NA,NA,NA,35–44 years,male,"No certificate, diploma or degree","< $50,000"
2,3,3,2,25–34 years,female,Secondary (high) school diploma or equivalency certificate,">$150,000"
2,2,2,1,55–64 years,male,"College, CEGEP or other non-university certificate or diploma","$100,000-$150,000"
2,2,2,2,55–64 years,male,"University certificate, diploma or degree at bachelor level or above","< $50,000"
3,3,NA,NA,35–44 years,female,"University certificate, diploma or degree at bachelor level or above","$50,000-$60,000"
1,NA,NA,1,45–54 years,female,"University certificate, diploma or degree at bachelor level or above","$60,000-$70,000"
4,3,3,2,45–54 years,male,"University certificate, diploma or degree at bachelor level or above",">$150,000"
3,2,2,3,35–44 years,male,"University certificate, diploma or degree at bachelor level or above","$60,000-$70,000"
3,3,3,2,35–44 years,female,"University certificate, diploma or degree at bachelor level or above",">$150,000"
1,1,1,1,35–44 years,male,"University certificate, diploma or degree at bachelor level or above",">$150,000"
2,4,4,4,55–64 years,male,"University certificate, diploma or degree at bachelor level or above","$60,000-$70,000"
2,3,3,3,55–64 years,male,"University certificate, diploma or degree at bachelor level or above","$50,000-$60,000"
4,2,2,3,55–64 years,male,Secondary (high) school diploma or equivalency certificate,"$60,000-$70,000"
1,2,1,3,35–44 years,female,"University certificate, diploma or degree at bachelor level or above","$100,000-$150,000"
3,NA,3,3,25–34 years,female,"University certificate, diploma or degree at bachelor level or above","< $50,000"
3,2,1,1,35–44 years,female,"College, CEGEP or other non-university certificate or diploma","$100,000-$150,000"
3,4,3,3,35–44 years,female,"University certificate, diploma or degree at bachelor level or above","$80,000-$90,000"
2,1,1,3,16–24 years,female,Secondary (high) school diploma or equivalency certificate,"$50,000-$60,000"
2,1,1,1,45–54 years,male,"University certificate, diploma or degree at bachelor level or above","< $50,000"
2,2,3,2,55–64 years,male,Secondary (high) school diploma or equivalency certificate,"$50,000-$60,000"
3,3,2,2,25–34 years,female,"College, CEGEP or other non-university certificate or diploma","$80,000-$90,000"
4,2,NA,NA,25–34 years,female,"No certificate, diploma or degree","< $50,000"
2,NA,2,2,35–44 years,male,Secondary (high) school diploma or equivalency certificate,"< $50,000"
2,3,3,3,25–34 years,female,"University certificate, diploma or degree at bachelor level or above","$100,000-$150,000"
1,1,4,NA,35–44 years,female,Secondary (high) school diploma or equivalency certificate,"$70,000-$80,000"
3,4,NA,4,55–64 years,female,Secondary (high) school diploma or equivalency certificate,"$60,000-$70,000"
3,3,3,1,55–64 years,female,"University certificate, diploma or degree at bachelor level or above","< $50,000"
3,2,2,3,25–34 years,male,University certificate or diploma below bachelor level,"$80,000-$90,000"
3,3,3,3,45–54 years,male,"University certificate, diploma or degree at bachelor level or above",">$150,000"
1,1,1,1,16–24 years,female,Secondary (high) school diploma or equivalency certificate,"< $50,000"
1,3,3,1,55–64 years,male,Apprenticeship or trades certificate or diploma,">$150,000"
1,1,1,1,35–44 years,female,"College, CEGEP or other non-university certificate or diploma","$50,000-$60,000"
2,2,2,2,25–34 years,female,"College, CEGEP or other non-university certificate or diploma","$60,000-$70,000"
3,4,NA,2,16–24 years,female,"College, CEGEP or other non-university certificate or diploma","$50,000-$60,000"
1,1,1,1,16–24 years,female,"No certificate, diploma or degree","< $50,000"
2,2,2,1,35–44 years,male,University certificate or diploma below bachelor level,"$50,000-$60,000"
2,3,3,3,16–24 years,female,Secondary (high) school diploma or equivalency certificate,"$50,000-$60,000"
3,4,4,4,35–44 years,female,"College, CEGEP or other non-university certificate or diploma","$80,000-$90,000"
2,1,2,2,35–44 years,male,"University certificate, diploma or degree at bachelor level or above",">$150,000"
1,1,3,NA,45–54 years,female,University certificate or diploma below bachelor level,"< $50,000"
4,3,4,4,45–54 years,male,"University certificate, diploma or degree at bachelor level or above","$50,000-$60,000"
3,3,3,3,25–34 years,female,Secondary (high) school diploma or equivalency certificate,"$50,000-$60,000"
2,2,2,2,25–34 years,female,"University certificate, diploma or degree at bachelor level or above","$60,000-$70,000"
2,NA,NA,NA,35–44 years,female,"College, CEGEP or other non-university certificate or diploma",">$150,000"
2,2,1,1,25–34 years,female,"University certificate, diploma or degree at bachelor level or above","$60,000-$70,000"
2,2,4,2,35–44 years,female,"University certificate, diploma or degree at bachelor level or above",">$150,000"
2,4,4,4,35–44 years,male,Secondary (high) school diploma or equivalency certificate,"< $50,000"
2,1,1,1,35–44 years,male,"College, CEGEP or other non-university certificate or diploma","< $50,000"
2,3,3,3,55–64 years,female,University certificate or diploma below bachelor level,">$150,000"
2,2,2,3,35–44 years,male,"College, CEGEP or other non-university certificate or diploma","$60,000-$70,000"
2,3,3,3,45–54 years,male,"University certificate, diploma or degree at bachelor level or above",">$150,000"
2,2,4,3,25–34 years,male,"College, CEGEP or other non-university certificate or diploma","$100,000-$150,000"
3,3,3,2,35–44 years,male,"College, CEGEP or other non-university certificate or diploma","$70,000-$80,000"
3,2,3,1,35–44 years,male,Secondary (high) school diploma or equivalency certificate,"< $50,000"
1,4,4,4,55–64 years,female,University certificate or diploma below bachelor level,">$150,000"
2,2,2,3,55–64 years,male,"University certificate, diploma or degree at bachelor level or above","$80,000-$90,000"
2,2,3,3,55–64 years,female,"University certificate, diploma or degree at bachelor level or above","< $50,000"
2,2,2,1,35–44 years,male,"University certificate, diploma or degree at bachelor level or above",">$150,000"
1,2,2,2,25–34 years,male,"College, CEGEP or other non-university certificate or diploma","$80,000-$90,000"
2,3,3,3,35–44 years,male,"College, CEGEP or other non-university certificate or diploma","$80,000-$90,000"
2,2,4,3,35–44 years,female,Apprenticeship or trades certificate or diploma,"$50,000-$60,000"
2,2,3,1,25–34 years,male,Secondary (high) school diploma or equivalency certificate,"$60,000-$70,000"
3,3,3,3,16–24 years,female,"No certificate, diploma or degree","$100,000-$150,000"
1,2,NA,2,35–44 years,male,Secondary (high) school diploma or equivalency certificate,"< $50,000"
3,3,3,3,35–44 years,male,Secondary (high) school diploma or equivalency certificate,"< $50,000"
2,3,4,3,55–64 years,male,"University certificate, diploma or degree at bachelor level or above",">$150,000"
2,2,2,2,45–54 years,female,Secondary (high) school diploma or equivalency certificate,"$50,000-$60,000"
2,1,1,1,35–44 years,female,University certificate or diploma below bachelor level,"$50,000-$60,000"
2,2,3,2,45–54 years,female,Secondary (high) school diploma or equivalency certificate,"< $50,000"
2,2,2,2,35–44 years,male,"College, CEGEP or other non-university certificate or diploma","$70,000-$80,000"
4,NA,4,4,35–44 years,female,"University certificate, diploma or degree at bachelor level or above","$70,000-$80,000"
3,2,3,3,35–44 years,female,"College, CEGEP or other non-university certificate or diploma","$70,000-$80,000"
2,2,NA,NA,55–64 years,male,"University certificate, diploma or degree at bachelor level or above","$70,000-$80,000"
3,2,2,2,45–54 years,male,"University certificate, diploma or degree at bachelor level or above","$100,000-$150,000"
2,4,4,4,25–34 years,male,Secondary (high) school diploma or equivalency certificate,"< $50,000"
4,3,2,1,35–44 years,male,"University certificate, diploma or degree at bachelor level or above","$100,000-$150,000"
3,2,3,3,25–34 years,male,"University certificate, diploma or degree at bachelor level or above","$70,000-$80,000"
2,NA,NA,NA,45–54 years,female,Secondary (high) school diploma or equivalency certificate,"< $50,000"
3,3,3,3,35–44 years,male,"University certificate, diploma or degree at bachelor level or above",">$150,000"
3,3,3,3,35–44 years,male,"University certificate, diploma or degree at bachelor level or above","$100,000-$150,000"
1,3,2,NA,55–64 years,male,University certificate or diploma below bachelor level,"< $50,000"
2,1,3,1,55–64 years,female,Secondary (high) school diploma or equivalency certificate,">$150,000"
3,1,1,1,45–54 years,female,"University certificate, diploma or degree at bachelor level or above","< $50,000"
4,NA,NA,1,25–34 years,female,"No certificate, diploma or degree","< $50,000"
2,2,4,1,35–44 years,male,Secondary (high) school diploma or equivalency certificate,"$100,000-$150,000"
2,3,3,3,35–44 years,female,"College, CEGEP or other non-university certificate or diploma",">$150,000"
2,NA,3,1,35–44 years,male,"University certificate, diploma or degree at bachelor level or above","< $50,000"
3,4,4,4,35–44 years,male,"University certificate, diploma or degree at bachelor level or above",">$150,000"
3,3,4,3,16–24 years,female,Secondary (high) school diploma or equivalency certificate,"$50,000-$60,000"
2,3,3,3,35–44 years,female,University certificate or diploma below bachelor level,"< $50,000"
2,3,3,3,25–34 years,female,"College, CEGEP or other non-university certificate or diploma","$50,000-$60,000"
2,3,3,1,45–54 years,male,"College, CEGEP or other non-university certificate or diploma",">$150,000"
2,2,3,1,25–34 years,male,"College, CEGEP or other non-university certificate or diploma","$60,000-$70,000"
2,2,2,2,35–44 years,male,"University certificate, diploma or degree at bachelor level or above",">$150,000"
3,2,2,2,16–24 years,female,"University certificate, diploma or degree at bachelor level or above","$70,000-$80,000"
2,2,4,3,16–24 years,male,University certificate or diploma below bachelor level,"$80,000-$90,000"
2,NA,NA,NA,35–44 years,male,University certificate or diploma below bachelor level,"< $50,000"
3,2,4,2,25–34 years,male,"University certificate, diploma or degree at bachelor level or above","$60,000-$70,000"
1,2,1,1,25–34 years,female,"University certificate, diploma or degree at bachelor level or above","< $50,000"
3,1,1,1,25–34 years,female,"College, CEGEP or other non-university certificate or diploma","$80,000-$90,000"
2,3,3,3,16–24 years,female,"University certificate, diploma or degree at bachelor level or above","$60,000-$70,000"
1,1,2,1,55–64 years,male,"College, CEGEP or other non-university certificate or diploma","$80,000-$90,000"
2,2,3,2,35–44 years,male,"University certificate, diploma or degree at bachelor level or above","$60,000-$70,000"
2,2,NA,NA,35–44 years,male,Secondary (high) school diploma or equivalency certificate,"$50,000-$60,000"
3,3,3,3,45–54 years,male,Apprenticeship or trades certificate or diploma,"$80,000-$90,000"
1,1,1,1,35–44 years,male,Secondary (high) school diploma or equivalency certificate,">$150,000"
3,2,3,2,35–44 years,female,University certificate or diploma below bachelor level,">$150,000"
2,3,3,3,55–64 years,female,"University certificate, diploma or degree at bachelor level or above","$70,000-$80,000"
2,3,4,4,45–54 years,female,"College, CEGEP or other non-university certificate or diploma","$50,000-$60,000"
